Reidsville,90,US,1551290714,52,36.35,-79.66,46.99,3.74
Manoel Urbano,64,BR,1551290717,78,-8.84,-69.26,84.11,2.95
Bredasdorp,0,ZA,1551290453,43,-34.53,20.04,71.6,18.34
Lata,48,IN,1551290719,100,30.78,78.62,27.77,1.05
Dakar,0,SN,1551288600,8,14.69,-17.45,87.8,12.75
Morant Bay,20,JM,1551286800,58,17.88,-76.41,84.2,16.11
Kenai,90,US,1551290524,79,60.55,-151.26,23.0,8.05
Estacion Coahuila,40,MX,1551290342,22,32.19,-115.0,69.01,3.4
Estelle,90,US,1551290502,87,32.87,-97.01,62.01,6.2
Tuatapere,92,NZ,1551290727,100,-46.13,167.69,49.91,11.9
Lompoc,90,US,1551290452,76,34.64,-120.46,57.0,14.99
Busselton,0,AU,1551290707,47,-33.64,115.35,68.0,14.81
Tucurui,92,BR,1551290477,88,-3.77,-49.67,78.17,2.95
Cairns,75,AU,1551290593,83,-16.92,145.77,75.2,11.41
Bluff,20,AU,1551290686,69,-23.58,149.07,69.26,10.0
Hobart,0,AU,1551290239,81,-42.88,147.33,53.6,4.18
Vaini,0,IN,1551290736,76,15.34,74.49,60.85,2.62
Yellowknife,90,CA,1551290571,72,62.45,-114.38,10.4,18.34
Bull Savanna,0,JM,1551290738,64,17.89,-77.59,80.11,5.41
Carnarvon,24,ZA,1551290682,24,-30.97,22.13,68.86,9.22
Mataura,48,NZ,1551290731,71,-46.19,168.86,46.22,8.88
Jurm,0,AF,1551290742,96,36.86,70.83,6.4,1.5
Sibolga,48,ID,1551290679,99,1.74,98.78,71.15,1.95
Sao Jose da Coroa Grande,0,BR,1551290745,77,-8.9,-35.15,85.82,11.12
Albany,90,US,1551290472,33,42.65,-73.75,19.0,3.18
Cape Town,20,ZA,1551290736,56,-33.93,18.42,68.0,9.17
Hermanus,0,ZA,1551290453,76,-34.42,19.24,66.0,5.01
Lavrentiya,76,RU,1551290716,88,65.58,-170.99,24.85,21.3
Kushiro,8,JP,1551290788,62,43.11,144.15,6.58,3.85
Port Augusta,0,AU,1551290647,73,-32.49,137.76,73.0,3.36
Tabas,100,IR,1551290794,60,33.6,56.92,54.01,4.29
Rikitea,92,PF,1551290676,99,-23.12,-134.97,80.06,9.44
Malihabad,75,IN,1551286800,93,26.92,80.71,57.2,6.53
Ilulissat,5,GL,1551286200,53,69.22,-51.1,21.2,4.7
Ushuaia,75,AR,1551286800,81,-54.81,-68.31,50.0,29.97
Oistins,75,BB,1551286800,62,13.07,-59.53,84.2,20.8
Jamestown,0,AU,1551290683,57,-33.21,138.6,64.81,7.65
Airai,64,TL,1551290511,91,-8.93,125.41,71.29,1.5
Butaritari,68,KI,1551290510,100,3.07,172.79,81.55,17.05
Clearwater,90,US,1551290578,61,27.97,-82.8,82.0,9.17
Yerbogachen,64,RU,1551290811,78,61.28,108.01,9.86,4.07
Kavieng,92,PG,1551290813,100,-2.57,150.8,78.76,5.64
Homer,90,US,1551290536,74,59.64,-151.54,33.8,8.05
Terney,32,RU,1551290815,82,45.05,136.61,28.4,8.1
Saint George,40,GR,1551288000,86,39.45,22.34,44.6,1.95
Puerto Escondido,5,MX,1551289260,66,15.86,-97.07,86.0,11.41
Bethel,40,US,1551288600,85,60.79,-161.76,33.8,11.41
Changping,0,CN,1551290797,63,40.22,116.23,42.01,2.24
Talara,0,PE,1551286800,290,-4.58,-81.27,62.6,11.41
Hasaki,75,JP,1551290675,93,35.73,140.83,43.0,9.17
New Norfolk,0,AU,1551290239,81,-42.78,147.06,53.6,2.84
Kodiak,1,US,1551290680,37,39.95,-94.76,19.99,14.99
Souillac,0,FR,1551290768,30,45.6,-0.6,71.6,2.24
Port Alfred,32,ZA,1551290760,78,-33.59,26.89,64.0,4.0
Broome,0,GB,1551290809,71,52.47,1.45,57.2,5.82
Russell,0,AR,1551286800,36,-33.01,-68.8,80.6,5.82
Arrifes,75,PT,1551288600,93,37.77,-25.7,62.6,11.41
Barrow,20,AR,1551290841,82,-38.31,-60.23,64.85,14.03
Evensk,64,RU,1551290842,100,61.92,159.24,1.67,7.54
Longyearbyen,75,NO,1551289800,60,78.22,15.63,5.0,2.24
Punta Arenas,40,CL,1551290592,54,-53.16,-70.91,59.0,28.86
Mahebourg,75,MU,1551290641,78,-20.41,57.7,82.4,8.05
Okha,0,RU,1551290848,76,53.59,142.95,4.82,9.44
Ponta do Sol,32,BR,1551290850,100,-20.63,-46.0,77.14,5.08
Hithadhoo,48,MV,1551290851,100,-0.6,73.08,81.95,7.87
